States,Sector,Yearly Sales,Sales,Revenue,Area (Sq Ft),Profit per Sq Ft,Property Tax Rate,Property Tax Amount,Growth Rate
West Bengal,Commercial,Jun-2022,31,38810408,662,58625.9939577039,17.9836571843683,6979530.72657464,0.366734151120104
Delhi,Commercial,Feb-2022,468,26187822,2474,10585.2150363783,19.7110901537514,5161905.20372395,0.283591561354956
Telangana,Industrial,May-2021,36,7397673,3791,1951.37773674492,11.1137631286073,822159.854248934,-0.614480443825403
Uttar Pradesh,Industrial,Aug-2023,204,12948727,769,16838.3966189857,17.4127838315946,2254733.84145332,0.418055431552218
Karnataka,Industrial,Feb-2023,346,21023385,1131,18588.3156498674,16.4679169198208,3462113.57553406,0.650292448969875
Rajasthan,Retail,Jan-2020,391,6502296,1405,4627.96868327402,13.6029342718336,884503.051040065,0.512169145998442
Delhi,Residential,Apr-2020,245,40864615,3971,10290.7617728532,19.340707154179,7903505.5168327,1.68510164205258
Madhya Pradesh,Industrial,Dec-2024,449,19052983,3753,5076.73407940314,8.00711773292604,1525594.78044438,1.22470154823336
Uttar Pradesh,Residential,Jun-2022,101,42038255,2514,16721.6607000796,6.63896315464432,2790904.26030542,-0.231014875262607
Madhya Pradesh,Retail,Nov-2023,486,42427728,2141,19816.7809434844,17.8094295043313,7556136.30844945,3.19028378544459
Delhi,Commercial,Jul-2021,30,11218361,704,15935.171875,11.5872472495062,1299899.22641218,-0.423872299970248
Telangana,Industrial,Mar-2023,312,24745082,1081,22890.9176688252,17.7045328131059,4381001.16231996,0.70722885146703
Uttar Pradesh,Residential,Dec-2024,473,22771555,1340,16993.697761194,18.3963530779312,4189135.6591353,2.53735496551066
Madhya Pradesh,Residential,Apr-2024,366,39932241,2219,17995.6020730059,5.93686390428607,2370722.80210152,1.21203100448856
Rajasthan,Industrial,Nov-2022,452,43940658,3143,13980.4829780465,18.2519714447909,8020036.35081323,-0.115933640736467
Tamil Nadu,Commercial,Dec-2022,93,32386947,2797,11579.1730425456,11.7247858305413,3797300.17280093,0.280948908864559
Maharashtra,Commercial,Jan-2025,271,8502619,1374,6188.22343522562,12.6564873350635,1076132.8968837,0.303527931330885
Tamil Nadu,Commercial,Nov-2024,156,49032681,1189,41238.5878889823,14.3988876663982,7060160.65701335,0.0455233942557869
Delhi,Retail,Nov-2021,450,8167857,4500,1815.07933333333,18.8957391009513,1543376.94885879,-0.90800964923824
Karnataka,Residential,Nov-2023,462,4928690,3641,1353.66382861851,5.28674141644646,260567.095518255,-0.266039180688939
Maharashtra,Residential,Jun-2023,396,39493865,1922,20548.3168574402,12.1526520247673,4799551.98458135,-0.672509960830042
West Bengal,Residential,Feb-2025,266,9389782,1171,8018.60119555935,15.3158306364584,1438123.10825266,-0.49872485048828
Rajasthan,Retail,Jun-2024,67,36936209,1671,22104.2543387193,15.8406043654734,5850918.73529439,-0.695200063410774
West Bengal,Residential,Apr-2020,389,4196176,4226,992.942735447231,15.3879864730566,645706.995265648,-0.848641814046608
Uttar Pradesh,Retail,Jan-2025,431,11232002,1443,7783.78516978517,7.01652694112183,788096.446357343,0.0315315206720541
Maharashtra,Commercial,Jan-2024,24,42954123,1949,22039.0574653669,9.49093382557522,4076747.38928619,-0.0062706419376567
West Bengal,Industrial,Sep-2022,171,15197697,4237,3586.90040122728,10.3807328812552,1577632.32967254,0.238036602894648
West Bengal,Residential,Sep-2021,454,18289600,3039,6018.29549193814,17.0665581151926,3121405.21303626,-0.0109923871450046
Madhya Pradesh,Residential,Jan-2025,172,18144180,4459,4069.11415115497,9.18139808621829,1665889.39528,-0.900708221110833
